,season,conference,division,team
1509,2021,NFC, NFC East,DAL
1510,2021,NFC, NFC East,PHI
1511,2021,NFC, NFC East,WAS
1512,2021,NFC, NFC East,NYG
1513,2021,NFC, NFC North,GNB
1514,2021,NFC, NFC North,MIN
1515,2021,NFC, NFC North,CHI
1516,2021,NFC, NFC North,DET
1517,2021,NFC, NFC South,TAM
1518,2021,NFC, NFC South,NOR
1519,2021,NFC, NFC South,ATL
1520,2021,NFC, NFC South,CAR
1521,2021,NFC, NFC West,RAM
1522,2021,NFC, NFC West,CRD
1523,2021,NFC, NFC West,SFO
1524,2021,NFC, NFC West,SEA
1525,2021,AFC, AFC East,BUF
1526,2021,AFC, AFC East,NWE
1527,2021,AFC, AFC East,MIA
1528,2021,AFC, AFC East,NYJ
1529,2021,AFC, AFC North,CIN
1530,2021,AFC, AFC North,PIT
1531,2021,AFC, AFC North,CLE
1532,2021,AFC, AFC North,RAV
1533,2021,AFC, AFC South,OTI
1534,2021,AFC, AFC South,CLT
1535,2021,AFC, AFC South,HTX
1536,2021,AFC, AFC South,JAX
1537,2021,AFC, AFC West,KAN
1538,2021,AFC, AFC West,RAI
1539,2021,AFC, AFC West,SDG
1540,2021,AFC, AFC West,DEN
1541,2022,NFC, NFC East,PHI
1542,2022,NFC, NFC East,DAL
1543,2022,NFC, NFC East,NYG
1544,2022,NFC, NFC East,WAS
1545,2022,NFC, NFC North,MIN
1546,2022,NFC, NFC North,DET
1547,2022,NFC, NFC North,GNB
1548,2022,NFC, NFC North,CHI
1549,2022,NFC, NFC South,TAM
1550,2022,NFC, NFC South,CAR
1551,2022,NFC, NFC South,NOR
1552,2022,NFC, NFC South,ATL
1553,2022,NFC, NFC West,SFO
1554,2022,NFC, NFC West,SEA
1555,2022,NFC, NFC West,RAM
1556,2022,NFC, NFC West,CRD
1557,2022,AFC, AFC East,BUF
1558,2022,AFC, AFC East,MIA
1559,2022,AFC, AFC East,NWE
1560,2022,AFC, AFC East,NYJ
1561,2022,AFC, AFC North,CIN
1562,2022,AFC, AFC North,RAV
1563,2022,AFC, AFC North,PIT
1564,2022,AFC, AFC North,CLE
1565,2022,AFC, AFC South,JAX
1566,2022,AFC, AFC South,OTI
1567,2022,AFC, AFC South,CLT
1568,2022,AFC, AFC South,HTX
1569,2022,AFC, AFC West,KAN
1570,2022,AFC, AFC West,SDG
1571,2022,AFC, AFC West,RAI
1572,2022,AFC, AFC West,DEN
